associativity,block_size_kb,cache_size_kb,capacity_misses,compulsory_misses,conflict_misses,hit_rate,hits,load_accesses,miss_rate,misses,notes,replacement_policy,runtime_seconds,store_accesses,total_accesses,workload_name
1,16,2048,0,2,0,0.996,498,250,0.004,2,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 2/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=1 tag=0', 'A#491 HIT set=1 tag=0', 'A#492 HIT set=1 tag=0', 'A#493 HIT set=1 tag=0', 'A#494 HIT set=1 tag=0', 'A#495 HIT set=1 tag=0', 'A#496 HIT set=1 tag=0', 'A#497 HIT set=1 tag=0', 'A#498 HIT set=1 tag=0', 'A#499 HIT set=1 tag=0']",LRU,0.0011212590006834944,250,500,sequential
2,16,2048,0,2,0,0.996,498,250,0.004,2,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 2/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=1 tag=0', 'A#491 HIT set=1 tag=0', 'A#492 HIT set=1 tag=0', 'A#493 HIT set=1 tag=0', 'A#494 HIT set=1 tag=0', 'A#495 HIT set=1 tag=0', 'A#496 HIT set=1 tag=0', 'A#497 HIT set=1 tag=0', 'A#498 HIT set=1 tag=0', 'A#499 HIT set=1 tag=0']",LRU,0.0009447889997318271,250,500,sequential
4,16,2048,0,2,0,0.996,498,250,0.004,2,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 2/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=1 tag=0', 'A#491 HIT set=1 tag=0', 'A#492 HIT set=1 tag=0', 'A#493 HIT set=1 tag=0', 'A#494 HIT set=1 tag=0', 'A#495 HIT set=1 tag=0', 'A#496 HIT set=1 tag=0', 'A#497 HIT set=1 tag=0', 'A#498 HIT set=1 tag=0', 'A#499 HIT set=1 tag=0']",LRU,0.0009858390003500972,250,500,sequential
8,16,2048,0,2,0,0.996,498,250,0.004,2,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 2/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=1 tag=0', 'A#491 HIT set=1 tag=0', 'A#492 HIT set=1 tag=0', 'A#493 HIT set=1 tag=0', 'A#494 HIT set=1 tag=0', 'A#495 HIT set=1 tag=0', 'A#496 HIT set=1 tag=0', 'A#497 HIT set=1 tag=0', 'A#498 HIT set=1 tag=0', 'A#499 HIT set=1 tag=0']",LRU,0.0009216830003424548,250,500,sequential
1,32,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0009514010007478646,250,500,sequential
2,32,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.001041591000102926,250,500,sequential
4,32,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0010577399998510373,250,500,sequential
8,32,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.0015840099995330092,250,500,sequential
1,64,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.001349139999547333,250,500,sequential
2,64,2048,0,1,0,0.998,499,250,0.002,1,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 1/0/0', 'Load/store split: 250/250', 'Recent cache events:', 'A#490 HIT set=0 tag=0', 'A#491 HIT set=0 tag=0', 'A#492 HIT set=0 tag=0', 'A#493 HIT set=0 tag=0', 'A#494 HIT set=0 tag=0', 'A#495 HIT set=0 tag=0', 'A#496 HIT set=0 tag=0', 'A#497 HIT set=0 tag=0', 'A#498 HIT set=0 tag=0', 'A#499 HIT set=0 tag=0']",LRU,0.001070151000021724,250,500,sequential
