associativity,block_size_kb,cache_size_kb,capacity_misses,compulsory_misses,conflict_misses,hit_rate,hits,load_accesses,miss_rate,misses,notes,replacement_policy,runtime_seconds,store_accesses,total_accesses,workload_name
1,16,2048,0,391,0,0.99609,99609,50000,0.00391,391,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 391/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=6 tag=3', 'A#99991 HIT set=6 tag=3', 'A#99992 HIT set=6 tag=3', 'A#99993 HIT set=6 tag=3', 'A#99994 HIT set=6 tag=3', 'A#99995 HIT set=6 tag=3', 'A#99996 HIT set=6 tag=3', 'A#99997 HIT set=6 tag=3', 'A#99998 HIT set=6 tag=3', 'A#99999 HIT set=6 tag=3']",LRU,0.2822154750001573,50000,100000,sequential
2,16,2048,0,391,0,0.99609,99609,50000,0.00391,391,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 391/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=6 tag=6', 'A#99991 HIT set=6 tag=6', 'A#99992 HIT set=6 tag=6', 'A#99993 HIT set=6 tag=6', 'A#99994 HIT set=6 tag=6', 'A#99995 HIT set=6 tag=6', 'A#99996 HIT set=6 tag=6', 'A#99997 HIT set=6 tag=6', 'A#99998 HIT set=6 tag=6', 'A#99999 HIT set=6 tag=6']",LRU,0.2741500749998522,50000,100000,sequential
4,16,2048,0,391,0,0.99609,99609,50000,0.00391,391,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 391/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=6 tag=12', 'A#99991 HIT set=6 tag=12', 'A#99992 HIT set=6 tag=12', 'A#99993 HIT set=6 tag=12', 'A#99994 HIT set=6 tag=12', 'A#99995 HIT set=6 tag=12', 'A#99996 HIT set=6 tag=12', 'A#99997 HIT set=6 tag=12', 'A#99998 HIT set=6 tag=12', 'A#99999 HIT set=6 tag=12']",LRU,0.25919698899997456,50000,100000,sequential
8,16,2048,0,391,0,0.99609,99609,50000,0.00391,391,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 391/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=6 tag=24', 'A#99991 HIT set=6 tag=24', 'A#99992 HIT set=6 tag=24', 'A#99993 HIT set=6 tag=24', 'A#99994 HIT set=6 tag=24', 'A#99995 HIT set=6 tag=24', 'A#99996 HIT set=6 tag=24', 'A#99997 HIT set=6 tag=24', 'A#99998 HIT set=6 tag=24', 'A#99999 HIT set=6 tag=24']",LRU,0.25348685900007695,50000,100000,sequential
1,32,2048,0,196,0,0.99804,99804,50000,0.00196,196,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 196/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=3 tag=3', 'A#99991 HIT set=3 tag=3', 'A#99992 HIT set=3 tag=3', 'A#99993 HIT set=3 tag=3', 'A#99994 HIT set=3 tag=3', 'A#99995 HIT set=3 tag=3', 'A#99996 HIT set=3 tag=3', 'A#99997 HIT set=3 tag=3', 'A#99998 HIT set=3 tag=3', 'A#99999 HIT set=3 tag=3']",LRU,0.2501192390000142,50000,100000,sequential
2,32,2048,0,196,0,0.99804,99804,50000,0.00196,196,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 196/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=3 tag=6', 'A#99991 HIT set=3 tag=6', 'A#99992 HIT set=3 tag=6', 'A#99993 HIT set=3 tag=6', 'A#99994 HIT set=3 tag=6', 'A#99995 HIT set=3 tag=6', 'A#99996 HIT set=3 tag=6', 'A#99997 HIT set=3 tag=6', 'A#99998 HIT set=3 tag=6', 'A#99999 HIT set=3 tag=6']",LRU,0.2589883569999074,50000,100000,sequential
4,32,2048,0,196,0,0.99804,99804,50000,0.00196,196,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 196/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=3 tag=12', 'A#99991 HIT set=3 tag=12', 'A#99992 HIT set=3 tag=12', 'A#99993 HIT set=3 tag=12', 'A#99994 HIT set=3 tag=12', 'A#99995 HIT set=3 tag=12', 'A#99996 HIT set=3 tag=12', 'A#99997 HIT set=3 tag=12', 'A#99998 HIT set=3 tag=12', 'A#99999 HIT set=3 tag=12']",LRU,0.24934614100038743,50000,100000,sequential
8,32,2048,0,196,0,0.99804,99804,50000,0.00196,196,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 196/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=3 tag=24', 'A#99991 HIT set=3 tag=24', 'A#99992 HIT set=3 tag=24', 'A#99993 HIT set=3 tag=24', 'A#99994 HIT set=3 tag=24', 'A#99995 HIT set=3 tag=24', 'A#99996 HIT set=3 tag=24', 'A#99997 HIT set=3 tag=24', 'A#99998 HIT set=3 tag=24', 'A#99999 HIT set=3 tag=24']",LRU,0.26419310300025245,50000,100000,sequential
1,64,2048,0,98,0,0.99902,99902,50000,0.00098,98,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 98/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=1 tag=3', 'A#99991 HIT set=1 tag=3', 'A#99992 HIT set=1 tag=3', 'A#99993 HIT set=1 tag=3', 'A#99994 HIT set=1 tag=3', 'A#99995 HIT set=1 tag=3', 'A#99996 HIT set=1 tag=3', 'A#99997 HIT set=1 tag=3', 'A#99998 HIT set=1 tag=3', 'A#99999 HIT set=1 tag=3']",LRU,0.2452548659994136,50000,100000,sequential
2,64,2048,0,98,0,0.99902,99902,50000,0.00098,98,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 98/0/0', 'Load/store split: 50000/50000', 'Recent cache events:', 'A#99990 HIT set=1 tag=6', 'A#99991 HIT set=1 tag=6', 'A#99992 HIT set=1 tag=6', 'A#99993 HIT set=1 tag=6', 'A#99994 HIT set=1 tag=6', 'A#99995 HIT set=1 tag=6', 'A#99996 HIT set=1 tag=6', 'A#99997 HIT set=1 tag=6', 'A#99998 HIT set=1 tag=6', 'A#99999 HIT set=1 tag=6']",LRU,0.24717226199936704,50000,100000,sequential
