associativity,block_size_kb,cache_size_kb,capacity_misses,compulsory_misses,conflict_misses,hit_rate,hits,load_accesses,miss_rate,misses,notes,replacement_policy,runtime_seconds,store_accesses,total_accesses,workload_name
1,16,2048,0,8,0,0.996,1992,1000,0.004,8,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 8/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=7 tag=0', 'A#1991 HIT set=7 tag=0', 'A#1992 HIT set=7 tag=0', 'A#1993 HIT set=7 tag=0', 'A#1994 HIT set=7 tag=0', 'A#1995 HIT set=7 tag=0', 'A#1996 HIT set=7 tag=0', 'A#1997 HIT set=7 tag=0', 'A#1998 HIT set=7 tag=0', 'A#1999 HIT set=7 tag=0']",LRU,0.007007974999851285,1000,2000,sequential
2,16,2048,0,8,0,0.996,1992,1000,0.004,8,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 8/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=7 tag=0', 'A#1991 HIT set=7 tag=0', 'A#1992 HIT set=7 tag=0', 'A#1993 HIT set=7 tag=0', 'A#1994 HIT set=7 tag=0', 'A#1995 HIT set=7 tag=0', 'A#1996 HIT set=7 tag=0', 'A#1997 HIT set=7 tag=0', 'A#1998 HIT set=7 tag=0', 'A#1999 HIT set=7 tag=0']",LRU,0.0071625310001763864,1000,2000,sequential
4,16,2048,0,8,0,0.996,1992,1000,0.004,8,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 8/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=7 tag=0', 'A#1991 HIT set=7 tag=0', 'A#1992 HIT set=7 tag=0', 'A#1993 HIT set=7 tag=0', 'A#1994 HIT set=7 tag=0', 'A#1995 HIT set=7 tag=0', 'A#1996 HIT set=7 tag=0', 'A#1997 HIT set=7 tag=0', 'A#1998 HIT set=7 tag=0', 'A#1999 HIT set=7 tag=0']",LRU,0.006573977000243758,1000,2000,sequential
8,16,2048,0,8,0,0.996,1992,1000,0.004,8,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 8/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=7 tag=0', 'A#1991 HIT set=7 tag=0', 'A#1992 HIT set=7 tag=0', 'A#1993 HIT set=7 tag=0', 'A#1994 HIT set=7 tag=0', 'A#1995 HIT set=7 tag=0', 'A#1996 HIT set=7 tag=0', 'A#1997 HIT set=7 tag=0', 'A#1998 HIT set=7 tag=0', 'A#1999 HIT set=7 tag=0']",LRU,0.006437931000164099,1000,2000,sequential
1,32,2048,0,4,0,0.998,1996,1000,0.002,4,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 4/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=3 tag=0', 'A#1991 HIT set=3 tag=0', 'A#1992 HIT set=3 tag=0', 'A#1993 HIT set=3 tag=0', 'A#1994 HIT set=3 tag=0', 'A#1995 HIT set=3 tag=0', 'A#1996 HIT set=3 tag=0', 'A#1997 HIT set=3 tag=0', 'A#1998 HIT set=3 tag=0', 'A#1999 HIT set=3 tag=0']",LRU,0.0063643499997851904,1000,2000,sequential
2,32,2048,0,4,0,0.998,1996,1000,0.002,4,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 4/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=3 tag=0', 'A#1991 HIT set=3 tag=0', 'A#1992 HIT set=3 tag=0', 'A#1993 HIT set=3 tag=0', 'A#1994 HIT set=3 tag=0', 'A#1995 HIT set=3 tag=0', 'A#1996 HIT set=3 tag=0', 'A#1997 HIT set=3 tag=0', 'A#1998 HIT set=3 tag=0', 'A#1999 HIT set=3 tag=0']",LRU,0.006153697000172542,1000,2000,sequential
4,32,2048,0,4,0,0.998,1996,1000,0.002,4,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 4/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=3 tag=0', 'A#1991 HIT set=3 tag=0', 'A#1992 HIT set=3 tag=0', 'A#1993 HIT set=3 tag=0', 'A#1994 HIT set=3 tag=0', 'A#1995 HIT set=3 tag=0', 'A#1996 HIT set=3 tag=0', 'A#1997 HIT set=3 tag=0', 'A#1998 HIT set=3 tag=0', 'A#1999 HIT set=3 tag=0']",LRU,0.0061644350003007276,1000,2000,sequential
8,32,2048,0,4,0,0.998,1996,1000,0.002,4,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 4/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=3 tag=0', 'A#1991 HIT set=3 tag=0', 'A#1992 HIT set=3 tag=0', 'A#1993 HIT set=3 tag=0', 'A#1994 HIT set=3 tag=0', 'A#1995 HIT set=3 tag=0', 'A#1996 HIT set=3 tag=0', 'A#1997 HIT set=3 tag=0', 'A#1998 HIT set=3 tag=0', 'A#1999 HIT set=3 tag=0']",LRU,0.006783683999856294,1000,2000,sequential
1,64,2048,0,2,0,0.999,1998,1000,0.001,2,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 2/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=1 tag=0', 'A#1991 HIT set=1 tag=0', 'A#1992 HIT set=1 tag=0', 'A#1993 HIT set=1 tag=0', 'A#1994 HIT set=1 tag=0', 'A#1995 HIT set=1 tag=0', 'A#1996 HIT set=1 tag=0', 'A#1997 HIT set=1 tag=0', 'A#1998 HIT set=1 tag=0', 'A#1999 HIT set=1 tag=0']",LRU,0.0070887549995859445,1000,2000,sequential
2,64,2048,0,2,0,0.999,1998,1000,0.001,2,"['Validated rates: hit+miss=1.000000', 'Miss breakdown (C/C/Cp): 2/0/0', 'Load/store split: 1000/1000', 'Recent cache events:', 'A#1990 HIT set=1 tag=0', 'A#1991 HIT set=1 tag=0', 'A#1992 HIT set=1 tag=0', 'A#1993 HIT set=1 tag=0', 'A#1994 HIT set=1 tag=0', 'A#1995 HIT set=1 tag=0', 'A#1996 HIT set=1 tag=0', 'A#1997 HIT set=1 tag=0', 'A#1998 HIT set=1 tag=0', 'A#1999 HIT set=1 tag=0']",LRU,0.006260705000386224,1000,2000,sequential
